dup,data,Market,Station,Date,Time,Search Phrase,Closed Captions,Hits,Demographic,Minute Ratings,Quarter Hour Ratings,Minute Gains,Minute Losses
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Females 35-54,0.541,0.541,0,0
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Females 50+,1.863,2.328,0,0
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Females 55+,2.008,2.541,0,0
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Households,1.993,1.84,0,0.105
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Males 12-24,0,0,0,0
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Males 18-34,0,0,0,0
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Males 18-49,0,0,0,0
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Males 25-49,0,0,0,0
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Males 25-54,0.331,0.072,0,0
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Males 35-54,0.46,0.1,0,0
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Males 50+,1.633,1.073,0,0.126
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Males 55+,1.631,1.184,0,0.146
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Persons 12-17,0.87,0.869,0,0
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Persons 12-24,0.42,0.42,0,0
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Persons 18-34,0,0,0,0
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Persons 18-49,0.111,0.111,0,0
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Persons 2+,0.99,0.983,0,0.03
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Persons 2-11,0,0,0,0
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Persons 25-34,0,0,0,0
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Persons 25-49,0.14,0.14,0,0
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Persons 25-54,0.363,0.237,0,0
,,Tampa-St. Pete (Sarasota),WFTS,30-Dec-21,06:14 PM,fire," ACTUALLY PUT OUT THE FIRE APARTMENTS. THE FIRE FIRE, HOW MANY OF THE INJURED HOSPITAL AFTER A FIRE AT AN",4,Persons 35+,1.369,1.36,0,0.044
